stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1714575215.377949953, -0.168, -0.975, 0.143, -123.706, 0.984, -0.176, -0.039, 40.769, 0.063, 0.134, 0.989, 13.229
1714575215.477941990, -0.169, -0.976, 0.137, -123.708, 0.981, -0.180, -0.072, 40.762, 0.095, 0.122, 0.988, 13.230
1714575215.577933788, -0.168, -0.974, 0.149, -123.705, 0.981, -0.181, -0.075, 40.761, 0.100, 0.133, 0.986, 13.230
1714575215.677925825, -0.164, -0.974, 0.158, -123.703, 0.980, -0.179, -0.089, 40.758, 0.115, 0.140, 0.983, 13.229
1714575215.777917862, -0.166, -0.972, 0.165, -123.701, 0.981, -0.179, -0.072, 40.762, 0.099, 0.150, 0.984, 13.229
1714575215.877909899, -0.170, -0.971, 0.170, -123.700, 0.981, -0.182, -0.060, 40.765, 0.089, 0.157, 0.984, 13.229
1714575222.477378130, -0.211, -0.950, 0.232, -123.575, 0.970, -0.232, -0.068, 41.278, 0.119, 0.211, 0.970, 13.249
1714575223.577289581, -0.164, -0.963, 0.212, -123.161, 0.980, -0.183, -0.075, 41.329, 0.111, 0.196, 0.974, 13.169
1714575224.577208996, -0.117, -0.981, 0.155, -123.003, 0.978, -0.141, -0.154, 41.300, 0.173, 0.133, 0.976, 13.155
1714575225.577128410, -0.076, -0.981, 0.179, -122.695, 0.990, -0.096, -0.106, 41.485, 0.121, 0.169, 0.978, 13.105
1714575226.477056026, -0.046, -0.983, 0.176, -122.695, 0.991, -0.068, -0.119, 41.482, 0.129, 0.169, 0.977, 13.105
1714575227.376983643, -0.090, -0.978, 0.186, -122.411, 0.991, -0.107, -0.080, 41.527, 0.098, 0.177, 0.979, 13.048
1714575228.276911020, -0.076, -0.984, 0.159, -122.309, 0.991, -0.093, -0.101, 41.902, 0.114, 0.150, 0.982, 13.068
1714575229.276830435, -0.071, -0.980, 0.188, -122.303, 0.993, -0.086, -0.076, 41.907, 0.091, 0.181, 0.979, 13.067
1714575230.476733923, -0.079, -0.979, 0.187, -122.298, 0.995, -0.090, -0.051, 42.363, 0.067, 0.181, 0.981, 13.127
1714575231.476653337, -0.070, -0.965, 0.254, -122.283, 0.997, -0.074, -0.007, 42.373, 0.025, 0.253, 0.967, 13.123
1714575232.576564789, -0.041, -0.975, 0.219, -122.317, 0.998, -0.048, -0.026, 42.388, 0.036, 0.218, 0.975, 13.125
1714575233.676476002, -0.086, -0.974, 0.210, -122.608, 0.995, -0.093, -0.023, 42.360, 0.042, 0.207, 0.978, 13.172
1714575234.676395655, -0.082, -0.975, 0.208, -122.614, 0.995, -0.093, -0.044, 42.351, 0.062, 0.204, 0.977, 13.150
1714575235.576323032, -0.069, -0.976, 0.206, -122.615, 0.997, -0.076, -0.027, 42.355, 0.042, 0.203, 0.978, 13.150
